card_name,card_set,card_number
Starlit Ceremony,Opening Ceremony,1
Blue Barons,Opening Ceremony,2
Green Gladiators,Opening Ceremony,3
Gold Stars,Opening Ceremony,4
Orange Optimists,Opening Ceremony,5
Pink Pioneers,Opening Ceremony,6
Red Respect,Opening Ceremony,7
Final Countdown,Opening Ceremony,8
The Games Begin,Opening Ceremony,9
Tatami Tumble,Shield Breaker,10
Sporting Conduct,Shield Breaker,11
Smashing Success,Shield Breaker,12
Ouch!,Shield Breaker,13
Crushed Ice,Shield Breaker,14
Hawk-Eyed,Shield Breaker,15
Dual flurry,Shield Breaker,16
Self-Protection,Shield Breaker,17
Top Chops,Shield Breaker,18
Day in the Bay,Rowing,19
Double Scull Duo,Rowing,20
Knot Bad,Rowing,21
Tight Crew,Rowing,22
No Bowing Out,Rowing,23
Flare for Drama,Rowing,24
Win Oar Lose,Rowing,25
Deck and Deck,Rowing,26
Rowed to Victory,Rowing,27
Long Course,Swimming,28
Pool Deck,Swimming,29
Warm Up,Swimming,30
No Splash Zone,Swimming,31
Well Suited,Swimming,32
Dive In,Swimming,33
Freestyli,Swimming,34
The Approach,Swimming,35
Winning Touch,Swimming,36
Full House,Wheelchair Rugby,37
Priming Up,Wheelchair Rugby,38
Game Plan,Wheelchair Rugby,39
Tip-Off,Wheelchair Rugby,40
Pass Back,Wheelchair Rugby,41
Fending Off,Wheelchair Rugby,42
Nice Try!,Wheelchair Rugby,43
Murderball Cup,Wheelchair Rugby,44
Pink and Gold,Wheelchair Rugby,45
Highland Games,Caber Tossing,46
Above Board,Caber Tossing,47
Lofty Perch,Caber Tossing,48
Limber Timber,Caber Tossing,49
Heave!,Caber Tossing,50
Caber Neighbors,Caber Tossing,51
Logger Rhythm,Caber Tossing,52
End-Over-End,Caber Tossing,53
Woodland Winners,Caber Tossing,54
Track and Field,Throw Put,55
Chowing Down,Throw Put,56
Disqualified!,Throw Put,57
Release!,Throw Put,58
Hammer Time,Throw Put,59
Take Aim,Throw Put,60
Stick the Landing,Throw Put,61
Discobolos,Throw Put,62
Dream Team,Throw Put,63
Firing Range,On Target,64
Ammo Cash,On Target,65
Safety First,On Target,66
"Ready, Aim!",On Target,67
Spend!,On Target,68
